kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
18 , 12 ,50701,48920,0,6 , 9 ,22308,55535,72226,11 , 10 ,38635,30408,0,15 , 4 ,53502,31362,16188,1 , 9 ,17309,33585,0,64751073,8 , 10 ,43307,30873,0,6 , 12 ,36622,37362,0,12 , 10 ,34448,31837,0,8 , 6 ,40058,41433,0,9 , 13 ,45375,40950,0,203673937,0
0 , 2 ,11278,26665,26283,15 , 0 ,46286,12907,0,6 , 1 ,17415,17388,0,12 , 3 ,38889,24400,0,3 , 3 ,18758,25278,0,320744163,2 , 6 ,38040,20672,0,4 , 8 ,23608,26282,0,2 , 6 ,18936,21453,0,0 , 7 ,4892,39170,25176,1 , 10 ,21162,25049,0,307035509,0
8 , 7 ,41173,27533,0,2 , 7 ,30006,23189,0,5 , 7 ,29876,19325,0,1 , 4 ,19547,16444,0,6 , 9 ,26690,33136,0,972638351,8 , 3 ,34077,20026,0,3 , 7 ,17176,31044,0,8 , 3 ,26879,58034,58673,7 , 4 ,14194,15912,0,8 , 6 ,27301,22276,0,238303066,1
4 , 7 ,57083,76336,25702,10 , 14 ,81093,44269,0,23 , 12 ,79937,38897,0,15 , 15 ,63073,60818,0,2 , 13 ,71913,40194,0,345790151,27 , 17 ,75854,59196,0,10 , 9 ,48896,59134,106021,4 , 7 ,35625,49508,0,11 , 8 ,53438,112979,81182,9 , 13 ,46701,72282,0,113584097,0
15 , 7 ,94663,19353,0,24 , 12 ,60960,47602,0,5 , 13 ,30301,45757,0,17 , 9 ,67199,151216,46885,2 , 8 ,25011,38453,0,172676543,7 , 15 ,52475,51903,0,17 , 14 ,59177,60809,0,12 , 12 ,70448,61612,0,6 , 13 ,41489,51757,0,4 , 11 ,78792,52053,0,2618093417,1
2 , 10 ,29259,28785,0,5 , 4 ,46363,36512,0,4 , 9 ,32303,27301,20288,0 , 7 ,15623,43566,56767,1 , 12 ,15816,30460,0,298183173,6 , 2 ,33265,53273,22559,6 , 2 ,20703,16878,0,13 , 3 ,50964,25384,0,11 , 5 ,43587,30864,0,6 , 0 ,18105,12965,400,607950583,1
1 , 2 ,26389,12265,1259,1 , 4 ,40250,25368,2664,10 , 6 ,44345,27033,0,2 , 11 ,20472,23269,0,10 , 6 ,51525,24693,0,3612154193,5 , 4 ,31703,45198,25979,6 , 7 ,34102,26340,0,4 , 4 ,6368,26979,0,9 , 6 ,24805,32029,0,4 , 3 ,15650,52435,41996,18627598,1
13 , 17 ,70199,51831,0,6 , 7 ,56081,116893,33299,21 , 9 ,95145,50896,0,23 , 8 ,105324,52254,0,10 , 10 ,60834,95261,36585,209212289,9 , 22 ,64666,62222,0,5 , 13 ,91556,83430,0,9 , 12 ,101580,133418,24097,24 , 8 ,71901,55858,0,4 , 18 ,37432,52655,0,514671269,0
8 , 1 ,80854,50050,63025,4 , 2 ,41804,11527,400,23 , 2 ,96256,30722,0,6 , 0 ,36324,12100,0,13 , 1 ,63171,17168,0,131814393,2 , 11 ,34799,118265,32878,1 , 12 ,40447,55820,0,0 , 9 ,4811,42538,0,0 , 16 ,12944,42387,0,3 , 6 ,28566,59399,19778,6980578,0
4 , 8 ,23813,30517,0,7 , 6 ,20069,33314,0,13 , 4 ,41326,67958,35148,8 , 4 ,42218,31843,990,12 , 8 ,45017,32892,0,796610503,5 , 8 ,37667,40402,0,10 , 8 ,43577,25463,0,4 , 10 ,20056,43989,0,5 , 6 ,53114,30346,0,5 , 12 ,42110,32243,0,3018024227,0
